0  7 
0.005  6.9938 
0.01  6.987 
0.015  6.9793 
0.02  6.9633 
0.025  6.9428 
0.03  6.9179 
0.04  6.8553 
0.05  6.776 
0.07  6.5741 
0.09  6.3217 
0.1  6.1844 
0.125  5.7961 
0.15  5.3873 
0.175  4.9692 
0.2  4.5604 
0.25  3.8251 
0.3  3.2184 
0.4  2.3939 
0.5  1.9378 
0.6  1.6948 
0.7  1.5522 
0.8  1.4464 
0.9  1.3521 
1  1.262 
1.25  1.0456 
1.5  0.8378 
2  0.5237 
2.5  0.3234 
3  0.2275 
3.5  0.1317 
4  0.102 
5  0.0425 
6  0.0225 
7  0.0131 
8  0.0101 
10  0.0041 
15  0.00076112 
20  0.00024632 
50  6.6244e-06 
80  1.0425e-06 
100  4.3523e-07 
1000  7.8875e-11 
1e+06  3.9694e-20 
1e+09  4.0375e-29 
