0  1 
0.005  0.99945 
0.01  0.99779 
0.015  0.99504 
0.02  0.99121 
0.025  0.98632 
0.03  0.98039 
0.04  0.96554 
0.05  0.94693 
0.07  0.89987 
0.09  0.84238 
0.1  0.81082 
0.125  0.72711 
0.15  0.64129 
0.175  0.55811 
0.2  0.48078 
0.25  0.34974 
0.3  0.25127 
0.4  0.13044 
0.5  0.070592 
0.6  0.040325 
0.7  0.024285 
0.8  0.015335 
0.9  0.010091 
1  0.0068811 
1.25  0.0029947 
1.5  0.0014937 
2  0.00048903 
2.5  0.00020353 
3  9.9016e-05 
3.5  5.373e-05 
4  3.1604e-05 
5  1.2997e-05 
6  6.2819e-06 
7  3.3953e-06 
8  1.992e-06 
10  8.1675e-07 
15  1.615e-07 
20  5.1116e-08 
50  1.3091e-09 
80  1.9976e-10 
100  8.1822e-11 
1000  8.1823e-15 
1e+06  8.1823e-27 
1e+09  8.1823e-39 
