0  6 
0.005  5.9974 
0.01  5.9898 
0.015  5.9771 
0.02  5.9594 
0.025  5.9368 
0.03  5.9093 
0.04  5.8406 
0.05  5.7544 
0.07  5.5369 
0.09  5.2702 
0.1  5.1225 
0.125  4.7407 
0.15  4.331 
0.175  3.9371 
0.2  3.5775 
0.25  2.9614 
0.3  2.5015 
0.4  1.9512 
0.5  1.6856 
0.6  1.5353 
0.7  1.4245 
0.8  1.3206 
0.9  1.2165 
1  1.1121 
1.25  0.86482 
1.5  0.65662 
2  0.37202 
2.5  0.21465 
3  0.12882 
3.5  0.080452 
4  0.05223 
5  0.02433 
6  0.01265 
7  0.0071471 
8  0.0043194 
10  0.0018364 
15  0.00037767 
20  0.00012157 
50  3.2386e-06 
80  5.0734e-07 
100  2.1123e-07 
1000  3.5964e-11 
1e+06  1.6609e-20 
1e+09  1.681e-29 
