0  16 
0.005  15.994 
0.01  15.978 
0.015  15.952 
0.02  15.914 
0.025  15.866 
0.03  15.808 
0.04  15.664 
0.05  15.483 
0.07  15.027 
0.09  14.474 
0.1  14.172 
0.125  13.378 
0.15  12.574 
0.175  11.805 
0.2  11.099 
0.25  9.9162 
0.3  9.0285 
0.4  7.8477 
0.5  7.0114 
0.6  6.2418 
0.7  5.4892 
0.8  4.7754 
0.9  4.1262 
1  3.5583 
1.25  2.52 
1.5  1.928 
2  1.4044 
2.5  1.1769 
3  1.0101 
3.5  0.8433 
4  0.7181 
5  0.4678 
6  0.3098 
7  0.2098 
8  0.1641 
10  0.0726 
15  0.01825 
20  0.006371 
50  0.00019331 
80  3.1852e-05 
100  1.3622e-05 
1000  3.7466e-09 
1e+06  2.8515e-18 
1e+09  3.1327e-27 
