0  8 
0.005  7.9974 
0.01  7.9912 
0.015  7.9814 
0.02  7.9669 
0.025  7.9484 
0.03  7.9259 
0.04  7.8692 
0.05  7.7974 
0.07  7.6117 
0.09  7.3767 
0.1  7.2441 
0.125  6.8748 
0.15  6.4698 
0.175  6.0466 
0.2  5.6197 
0.25  4.8047 
0.3  4.0858 
0.4  3.0031 
0.5  2.3351 
0.6  1.9445 
0.7  1.7132 
0.8  1.5667 
0.9  1.4623 
1  1.3763 
1.25  1.182 
1.5  0.9961 
2  0.672 
2.5  0.4417 
3  0.3184 
3.5  0.1951 
4  0.1524 
5  0.0669 
6  0.0365 
7  0.0211 
8  0.0158 
10  0.0052 
15  0.0012872 
20  0.00041908 
50  1.1387e-05 
80  1.8006e-06 
100  7.5371e-07 
1000  1.4474e-10 
1e+06  7.8204e-20 
1e+09  7.9997e-29 
